060855001001000,75,13,54,8,5,10,60,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,54,1,0,11,0,9,49,26,9,12,17,24,67,8,0,0,0,0,0,0,0,0,0,0,20160229
060855001001001,117,21,71,25,6,32,79,0,0,0,68,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,2,1,20,0,3,71,46,19,24,31,22,93,24,0,0,0,0,0,0,0,0,0,0,20160229
060855001001002,60,5,37,18,2,25,33,0,0,1,0,0,25,2,0,0,0,21,0,0,0,0,0,0,0,11,0,47,1,0,11,0,1,50,10,4,12,20,19,45,15,0,0,0,0,0,0,0,0,0,0,20160229
060855001001003,1039,143,767,129,46,141,852,0,0,1,907,20,36,42,1,0,27,0,0,0,0,0,0,0,0,5,0,826,28,11,140,8,26,804,235,91,167,325,313,882,157,0,0,0,0,0,0,0,0,0,0,20160229
060855001001004,560,353,148,59,412,65,83,0,0,0,0,26,13,23,0,1,1,0,18,0,8,0,0,0,464,2,4,346,39,11,134,2,28,406,154,40,41,62,64,276,284,0,0,0,0,0,0,0,0,0,0,20160229
060855001001005,82,12,57,13,2,11,69,0,0,0,73,2,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,73,2,0,5,0,2,66,16,12,10,29,19,73,9,0,0,0,0,0,0,0,0,0,0,20160229
060855001001006,36,8,19,9,13,14,9,0,0,0,0,0,0,1,0,0,0,4,0,0,18,0,0,0,3,10,0,29,4,1,1,0,1,18,18,11,4,10,3,23,13,0,0,0,0,0,0,0,0,0,0,20160229
060855001001007,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,20160229
060855001001008,44,6,33,5,2,13,29,0,0,0,40,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,36,4,0,0,0,4,35,9,3,8,14,13,42,2,0,0,0,0,0,0,0,0,0,0,20160229
060855001001009,471,96,265,110,117,264,90,0,0,2,12,1,43,8,14,0,0,12,4,0,18,0,357,0,0,0,0,364,31,6,54,1,15,267,204,86,102,107,80,273,198,0,0,0,0,0,0,0,0,0,0,20160229
060855001001010,743,104,465,174,125,393,225,0,0,2,54,2,51,6,0,149,0,0,4,0,466,1,1,0,3,4,0,587,36,12,89,4,15,320,423,235,113,155,136,393,350,0,0,0,0,0,0,0,0,0,0,20160229
060855001001012,23,7,12,4,6,12,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,1,1,3,0,1,16,7,4,3,7,2,16,7,0,0,0,0,0,0,0,0,0,0,20160229
060855001001013,26,1,17,8,2,9,15,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,3,1,5,0,0,13,13,3,4,15,3,19,7,0,0,0,0,0,0,0,0,0,0,20160229
060855001001014,112,15,84,13,3,35,74,0,0,0,0,0,0,0,0,0,6,0,2,0,102,0,0,0,1,1,0,97,2,2,7,0,4,87,25,17,25,34,21,79,33,0,0,0,0,0,0,0,0,0,0,20160229
060855001001015,1055,135,664,256,174,539,342,0,0,0,71,2,79,8,0,216,0,0,10,0,664,0,1,0,2,2,0,829,49,15,135,6,21,432,623,287,166,244,223,591,464,0,0,0,0,0,0,0,0,0,0,20160229
060855001001016,55,5,40,10,17,22,16,0,0,0,0,17,0,17,0,0,0,2,10,0,0,0,3,0,5,1,0,29,1,0,21,1,3,36,19,20,5,13,12,31,24,0,0,0,0,0,0,0,0,0,0,20160229
060855001001017,16,3,9,4,10,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,5,3,0,4,0,0,12,0,0,13,3,4,2,5,2,9,7,0,0,0,0,0,0,0,0,0,0,20160229
060855001001019,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20160229
060855001002007,3,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,20160229
060855001002008,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20160229
060855001002009,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,0,0,2,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20160229
