060855001004023,060855001004023,060855001004023,+37.3524336,-121.8962127,114,26
060855001004024,060855001004024,060855001004024,+37.3533941,-121.8954847,37,3
060855001004025,060855001004025,060855001004025,+37.3534360,-121.8940850,410,35
060855001004026,060855001004026,060855001004027,+37.3542867,-121.8937055,73,2
060855001004027,060855001004027,060855001004027,+37.3523228,-121.8946855,60,0
060855002001000,060855002001000,060855002001000,+37.3588378,-121.9051234,244,396
060855002001001,060855002001001,060855002001001,+37.3568933,-121.9038891,90,3
060855002001002,060855002001002,060855002001002,+37.3574027,-121.9028232,121,28
060855002001003,060855002001003,060855002001003,+37.3555135,-121.9014148,81,4
060855002001004,060855002001004,060855002001004,+37.3550149,-121.9024760,67,5
060855002001005,060855002001005,060855002001005,+37.3544908,-121.9035551,51,38
060855002001006,060855002001006,060855002001006,+37.3563792,-121.9049508,52,137
060855002001007,060855002001007,060855002001007,+37.3543073,-121.9080759,0,347
060855002001008,060855002001008,060855002001008,+37.3537358,-121.9052928,0,159
060855002001009,060855002001009,060855002001009,+37.3515199,-121.9037817,0,7061
060855002001010,060855002001010,060855002001010,+37.3525492,-121.9020922,40,265
060855002001011,060855002001011,060855002001011,+37.3533049,-121.9004820,0,77
060855002001012,060855002001012,060855002001012,+37.3504069,-121.9004822,88,126
060855002001013,060855002001013,060855002001013,+37.3509143,-121.8994128,102,1
060855002001014,060855002001014,060855002001014,+37.3514139,-121.8983603,94,3
060855002001015,060855002001015,060855002001015,+37.3503287,-121.9019306,3,216
060855002001016,060855002001016,060855002001018,+37.3483351,-121.9042060,0,30
060855002001017,060855002001017,060855002001018,+37.3496528,-121.9031387,0,0
060855002001018,060855002001018,060855002001018,+37.3487878,-121.9024118,34,0
060855002001019,060855002001019,060855002001019,+37.3493300,-121.9012317,102,104
060855002001020,060855002001020,060855002002000,+37.3475987,-121.9053161,0,1
060855002002000,060855002002000,060855002002000,+37.3511826,-121.9065909,896,0
060855002002001,060855002002001,060855002002001,+37.3497034,-121.9061900,0,3
060855002002002,060855002002002,060855002003000,+37.3505316,-121.9084153,534,36
060855002002003,060855002002003,060855002003000,+37.3492426,-121.9078216,0,0
060855002003000,060855002003000,060855002003000,+37.3492706,-121.8967651,182,0
060855002003001,060855002003001,060855002003001,+37.3487717,-121.8978166,192,18
060855002003002,060855002003002,060855002003002,+37.3482751,-121.8988783,55,129
060855002003003,060855002003003,060855002003003,+37.3481481,-121.9003825,4,15852
060855002003004,060855002003004,060855002003004,+37.3476127,-121.9015244,34,6
060855002003005,060855002003005,060855002003005,+37.3465326,-121.9023363,196,8
060855002003006,060855002003006,060855002003006,+37.3460890,-121.9032525,0,2
060855002003007,060855002003007,060855002003007,+37.3461241,-121.8972732,141,70
060855002003008,060855002003008,060855002003008,+37.3466276,-121.8962205,182,7
060855002003009,060855002003009,060855002003009,+37.3471285,-121.8951684,151,18
060855002003010,060855002003010,060855002003010,+37.3467251,-121.8999695,228,20
060855002004000,060855002004000,060855002004000,+37.3458355,-121.8993145,53,21
060855002004001,060855002004001,060855002004002,+37.3450492,-121.8992402,33,22
060855002004002,060855002004002,060855002004002,+37.3454564,-121.8979737,20,0
060855002004003,060855002004003,060855002004004,+37.3445118,-121.8983737,81,50
060855002004004,060855002004004,060855002004004,+37.3438586,-121.8978593,82,0
060855002004005,060855002004005,060855002004011,+37.3436288,-121.9001594,194,8
060855002004006,060855002004006,060855002004011,+37.3422840,-121.8996973,0,0
060855002004007,060855002004007,060855002004011,+37.3443786,-121.9004718,82,0
060855002004008,060855002004008,060855002004011,+37.3424093,-121.9001445,0,0
060855002004009,060855002004009,060855002004011,+37.3433883,-121.9013406,0,0
060855002004010,060855002004010,060855002004011,+37.3420104,-121.9004697,0,0
060855002004011,060855002004011,060855002004011,+37.3417394,-121.8995151,6,0
060855002004012,060855002004012,060855002004013,+37.3412230,-121.8989577,524,7
060855002004013,060855002004013,060855002004013,+37.3418035,-121.8961293,78,0
060855002004014,060855002004014,060855002004014,+37.3418119,-121.8968656,29,2
060855002004015,060855002004015,060855002004015,+37.3424765,-121.8968713,113,13
060855002004016,060855002004016,060855002004016,+37.3432222,-121.8973672,104,8
060855002004017,060855002004017,060855002004017,+37.3407489,-121.8982854,8,9
060855002004018,060855002004018,060855002004019,+37.3414093,-121.8957126,60,12
060855002004019,060855002004019,060855002004019,+37.3407298,-121.8950635,391,0
060855002004020,060855002004020,060855002004021,+37.3401341,-121.8961675,0,1
060855002004021,060855002004021,060855002004021,+37.3397295,-121.8970406,0,0
060855002004022,060855002004022,060855002004022,+37.3401998,-121.8981146,0,31
060855002004023,060855002004023,060855003001001,+37.3392211,-121.8981355,0,106
