FID,full_name,Frequency1,LineID1,LineAbb,Line_url,Category,colorcode
63,57 Old Ironsides Station - West Valley College - A - outbound,15,57,57,https://www.vta.org/go/routes/57,frequent,e4002b
64,64A McKee & White - Ohlone-Chynoweth Station - A - inbound,30,64A,64a,https://www.vta.org/go/routes/64a,frequent,29588c
65,64A McKee & White - Ohlone-Chynoweth Station - A - outbound,30,64A,64a,https://www.vta.org/go/routes/64a,frequent,29588c
66,Express 121 Gilroy / Morgan Hill - Lockheed Martin - inbound,Various,Express 121,express-121,https://www.vta.org/go/routes/express-121,express,00b140
67,Express 121 Gilroy / Morgan Hill - Lockheed Martin - outbound,Various,Express 121,express-121,https://www.vta.org/go/routes/express-121,express,00b140
68,Express 102 South San Jose - Stanford Research Park - inbound,Various,Express 102,express-102,https://www.vta.org/go/routes/express-102,express,00b140
69,Express 102 South San Jose - Stanford Research Park - outbound,Various,Express 102,express-102,https://www.vta.org/go/routes/express-102,express,00b140
70,84 Gilroy Transit Center - Saint Louise Hospital via Gilroy Outlets - inbound,60,84,84,https://www.vta.org/go/routes/84,local,29588c
71,84 Gilroy Transit Center - Saint Louise Hospital via Gilroy Outlets - outbound,60,84,84,https://www.vta.org/go/routes/84,local,29588c
72,77 Milpitas BART - Eastridge via King - A - inbound,15,77,77,https://www.vta.org/go/routes/77,frequent,e4002b
73,77 Milpitas BART - Eastridge via King - A - outbound,15,77,77,https://www.vta.org/go/routes/77,frequent,e4002b
74,27 Winchester Station - Kaiser San Jose via Downtown Los Gatos - A - inbound,30,27,27,https://www.vta.org/go/routes/27,local,29588c
75,27 Winchester Station - Kaiser San Jose via Downtown Los Gatos - A - outbound,30,27,27,https://www.vta.org/go/routes/27,local,29588c
76,31 Evergreen Valley College - Eastridge - A - inbound,30,31,31,https://www.vta.org/go/routes/31,local,29588c
77,31 Evergreen Valley College - Eastridge - A - outbound,30,31,31,https://www.vta.org/go/routes/31,local,29588c
78,73 Downtown San Jose - Senter & Monterey via Senter - inbound,15,73,73,https://www.vta.org/go/routes/73,frequent,e4002b
79,73 Downtown San Jose - Senter & Monterey via Senter - outbound,15,73,73,https://www.vta.org/go/routes/73,frequent,e4002b
80,39 Eastridge - The Villages - inbound,60,39,39,https://www.vta.org/go/routes/39,local,29588c
81,39 Eastridge - The Villages - outbound,60,39,39,https://www.vta.org/go/routes/39,local,29588c
82,44 Milpitas BART - McCarthy Ranch via Tasman & Alder - inbound,30,44,44,https://www.vta.org/go/routes/44,local,29588c
83,44 Milpitas BART - McCarthy Ranch via Tasman & Alder - outbound,30,44,44,https://www.vta.org/go/routes/44,local,29588c
84,89 California Avenue Caltrain - Palo Alto VA Hospital - A - inbound,20,89,89,https://www.vta.org/go/routes/89,local,29588c
85,89 California Avenue Caltrain - Palo Alto VA Hospital - A - outbound,20,89,89,https://www.vta.org/go/routes/89,local,29588c
86,26L West Valley College - Westgate - WESTBOUND,30,26L,26l,https://www.vta.org/go/routes/26l,local,29588c
87,26L West Valley College - Westgate - EASTBOUND,30,26L,26l,https://www.vta.org/go/routes/26l,local,29588c
88,Rapid 522 Palo Alto Transit Center - Eastridge - A - inbound,12,522,rapid-522,https://www.vta.org/go/routes/rapid-522,frequent,e4002b
89,Rapid 522 Palo Alto Transit Center - Eastridge - A - outbound,12,522,rapid-522,https://www.vta.org/go/routes/rapid-522,frequent,e4002b
90,47 Milpitas BART - McCarthy Ranch via Park Victoria - A - inbound,30,47,47,https://www.vta.org/go/routes/47,local,29588c
